|artist|date|genre|style_name|title
0|Julius LeBlanc Stewart|1896|genre painting|Realism|Yachting in the Mediterranean
1|Gustave Dore|1866|religious painting|Romanticism|Death of Eleazer
2|Joseph Wright|1768|genre painting|Baroque|An Experiment on a Bird in the Air Pump
3|Henri de Toulouse-Lautrec|1895|genre painting|Post-Impressionism|Abandonment (The pair)
4|August Macke|1910|genre painting|Expressionism|Sailing boat on the Tegernsee
5|Gustave Caillebotte|1881|genre painting|Impressionism|Rising Road
6|Ferdinand Hodler|1910|genre painting|Art Nouveau (Modern)|The Reaper
7|Franz Stuck|1910|portrait|Symbolism|Mary with  Biedermeier hut
8|William-Adolphe Bouguereau|1892|genre painting|Realism|Leveil Heart
9|Thomas Eakins|1880|portrait|Realism|General George Cadwalader  
10|Koloman Moser|1896|illustration|Art Nouveau (Modern)|Mermaid. Illustration for Jugendschatz German seals.
11|Ferdinand Hodler|1915|portrait|Art Nouveau (Modern)|Portrait of James Vibert
12|Ferdinand Hodler|1882|genre painting|Realism|Devotion
13|Koloman Moser|1899|design|Art Nouveau (Modern)|Girl's Head. Cover design Ver Sacrum, 204, 1899.
14|Koloman Moser|1895|illustration|Art Nouveau (Modern)|Happy editing. Illustration with self-portrait.
15|Ferdinand Hodler|1906|landscape|Symbolism|The Grammont
16|Theo van Rysselberghe|1905|nude painting (nu)|Impressionism|Seated nude
17|Rudolf von Alt|1898|landscape|Romanticism|The cemetery in Gastein
18|Rudolf von Alt|1856|cityscape|Romanticism|The Spittler in Nuremberg
19|Victor Borisov-Musatov|1904|genre painting|Symbolism|Emerald Necklace
20|Koloman Moser|1897|design|Art Nouveau (Modern)|Cover design of the first publication of the Association of Austrian Artists Secession
21|Ferdinand Hodler|1879|portrait|Realism|The pastor
22|Koloman Moser|1898|portrait|Art Nouveau (Modern)|Girl in Landscape
23|Ernst Ludwig Kirchner|1913|landscape|Expressionism|Red Tree on the Beach
24|Ferdinand Hodler|1906|landscape|Symbolism|Lake Geneva, overlooking the Savoyerberge
25|Ferdinand Hodler|1916|portrait|Art Nouveau (Modern)|Portrait of Georges Navazza
26|Ferdinand Hodler|1901|symbolic painting|Art Nouveau (Modern)|Spring
27|Ferdinand Hodler|1911|portrait|Art Nouveau (Modern)|Portrait of Willy Russ
28|Ferdinand Hodler|1889|landscape|Realism|The chestnut trees
29|Koloman Moser|1907|landscape|Art Nouveau (Modern)|Pine forest in winter
30|Ferdinand Hodler|1912|landscape|Art Nouveau (Modern)|The Lake Geneva from Lausanne
31|Ernst Ludwig Kirchner|1916|genre painting|Expressionism|In the Greenhouse
32|Ferdinand Hodler|1909|landscape|Symbolism|Thun with symmetric mirroring
33|Ferdinand Hodler|1912|landscape|Art Nouveau (Modern)|Thun, Stockhornkette, evening
34|Ferdinand Hodler|1910|landscape|Art Nouveau (Modern)|Thun, Stockhornkette
35|Ferdinand Hodler|1914|portrait|Art Nouveau (Modern)|Valentine Gode Darel in hospital bed
36|Ferdinand Hodler|1907|landscape|Symbolism|Snow in the Engadine
37|Francisco de Zurbaran|1660|religious painting|Baroque|The Childhood of the Virgin
38|Ferdinand Hodler|1912|portrait|Art Nouveau (Modern)|Portrait of Gertrud Mueller
39|Koloman Moser|1914|sketch and study|Art Nouveau (Modern)|Study of Portrait of Venus in the Grotto
40|Koloman Moser|1910|design|Art Nouveau (Modern)|Stage design for 'The lake' of Julius Bittner
41|Koloman Moser|1905|design|Art Nouveau (Modern)|Church Am Steinhof, design for the east side windows
42|Ferdinand Hodler|1890|portrait|Art Nouveau (Modern)|Girl at the Window
43|Koloman Moser|1914|mythological painting|Art Nouveau (Modern)|Mermaid
44|Ferdinand Hodler|1916|landscape|Symbolism|Dents du Midi
45|Karl Bodmer|1843|portrait|Romanticism|A Minatarre or Big bellied indian, plate 17 from Volume 2 of 'Travels in the Interior of North America'
46|Ernst Ludwig Kirchner|1910|genre painting|Expressionism|Girl with Cat (Franzi)
47|Ferdinand Hodler|1918|landscape|Symbolism|Lake Geneva with Mont Blanc before sunrise
48|Ferdinand Hodler|1894|portrait|Art Nouveau (Modern)|Portrait of Berthe Jacques
49|Ferdinand Hodler|1914|landscape|Symbolism|The Monk
50|Ferdinand Hodler|1878|genre painting|Realism|The Reaper
51|Claude Monet|1883|landscape|Impressionism|The Manneport, Rock Arch West of Etretat
52|Ferdinand Hodler|1911|landscape|Symbolism|The Monk with clouds
53|Ferdinand Hodler|1875|landscape|Romanticism|A morning in Interlaken
54|Ferdinand Hodler|1912|genre painting|Art Nouveau (Modern)|The Orator
55|Ferdinand Hodler|1912|landscape|Art Nouveau (Modern)|Thun, Stockhornkette, in clouds
56|Ferdinand Hodler|1878|landscape|Realism|Landscape at the Jonction at Geneva
57|Ferdinand Hodler|1910|landscape|Art Nouveau (Modern)|Thun, Stockhornkette
58|Theodor Severin Kittelsen|1890.0|illustration|Art Nouveau (Modern)|Months of year first page
59|Ferdinand Hodler|1897|sketch and study|Symbolism|Compositional study to retreat from Marignano
60|Karl Bodmer|1843|genre painting|Romanticism|Buffalo-Dance of the Mandan Indians in front of their Medicine Lodge in Mih-Tutta-Hankush, plate 18 from Volume 2 of 'Travels in the Interior of North America'
61|Ferdinand Hodler|1909|sketch and study|Symbolism|Fusilier Marching to the left
62|Koloman Moser|1913|landscape|Symbolism|Mountain ranges
63|Koloman Moser|1916|religious painting|Art Nouveau (Modern)|Judith and Holofernes
